,Iterations,PSNR,SSIM,D_Loss,G_Loss
0,1,27.05658442481308,0.6810815334320068,0.7233336427808649,4.138733737230065
1,2,26.183481610947197,0.5887807607650757,0.7222958968878809,3.9722398469296962
2,1,28.1300340648761,0.7242306470870972,0.7203643515876943,3.864588019783741
3,2,27.576759828327795,0.7105477452278137,0.71921354232701,3.504124138225707
4,3,28.226286374240317,0.6871315836906433,0.7179616197623185,3.146607141581382
5,4,29.03392026573556,0.7629603743553162,0.7165753716466176,2.8936277520432365
6,5,29.131798213836646,0.7680195569992065,0.7151314860839406,2.70364004952883
7,6,29.315244163359743,0.7946970462799072,0.7136806859755136,2.5647762271050465
8,7,30.025311389940725,0.7896158695220947,0.7121397170774484,2.390228979797113
9,8,30.447473852346,0.8228165507316589,0.7105999234720829,2.278416172460411
10,9,29.24109189809332,0.7538888454437256,0.7088839564417458,2.1497503107054747
11,10,30.126129597930593,0.8560303449630737,0.7074180201957752,2.050126373409273
12,11,30.813663342227073,0.8211897015571594,0.7060803456483666,1.9734584445527534
13,12,32.064436854238295,0.8790048360824585,0.704496405342691,1.8844399406324908
14,13,31.07583848837521,0.8561403155326843,0.7030096498282428,1.8254674458817253
15,14,30.807487985904345,0.8052204251289368,0.7016499941926383,1.7836729952583497
16,15,31.276495140521266,0.7943260073661804,0.7004817086266769,1.7425671933751352
17,16,30.468824984028515,0.8193000555038452,0.6992536995688245,1.712687560803552
18,17,31.456789661415826,0.8460196256637573,0.6981862181929847,1.6969841475038863
19,18,31.92731492470898,0.8823145031929016,0.6974085290284682,1.7046197118789208
20,19,31.720138616051493,0.8351669311523438,0.6965348167614869,1.684240033394832
21,20,32.00988989924786,0.8500632047653198,0.6958654084459002,1.6750306291729438
22,21,32.135441590749274,0.8496831059455872,0.6952364642784556,1.6839063940712393
23,22,32.23228268086814,0.8710323572158813,0.694926134728713,1.6626531091975874
24,23,32.61507362268062,0.8844705820083618,0.6945499552834176,1.6671043817254074
25,24,31.927145112764492,0.8492871522903442,0.6941391067030582,1.6535239842693392
26,25,32.061611322270664,0.8805873990058899,0.693749001373696,1.6349935484839953
27,26,32.163541482699515,0.8505839109420776,0.6937466418228426,1.6395356850414124
28,27,32.24626524488258,0.8758990168571472,0.6936441451896499,1.6420105348915743
29,28,32.52037278644707,0.8470882177352905,0.6932867797923745,1.6110234089168334
30,29,32.28922251428816,0.8647977113723755,0.6931255132382004,1.6088385465605692
31,30,31.636868160680933,0.8331884145736694,0.6930117394596469,1.6032776445285666
32,31,32.942189303621575,0.8670886158943176,0.6926087166783852,1.5879368698826841
33,32,32.673292584213414,0.8806760907173157,0.692431572135302,1.5820708750745731
34,33,32.90694139456491,0.8695555925369263,0.6921365625039366,1.5810792452701965
35,34,32.112009049223445,0.8605450391769409,0.6916226748155866,1.5720240297775268
36,35,32.723810626903465,0.8672380447387695,0.6914398862488176,1.5665222970253532
37,36,32.6256147744823,0.879759669303894,0.6916220145931025,1.5478140878599205
38,37,32.38922776955641,0.8615962862968445,0.6899926032360979,1.5487173187984316
39,38,32.42665691588413,0.8921205401420593,0.6908644234866549,1.5208736355396761
40,39,32.89199587257258,0.8684625625610352,0.6886652862742997,1.5190161208270871
41,40,33.1348464463195,0.8777157068252563,0.6886678724949519,1.50353549898265
42,41,33.353776181268216,0.8887346386909485,0.6875718845118948,1.5042383849176977
43,42,33.114618321001394,0.8681262135505676,0.6872312013310679,1.497495059501094
44,43,33.0662850539386,0.8880578875541687,0.6863334035840277,1.5020811606629727
45,44,31.41854591375818,0.8305783271789551,0.6853814493117409,1.4871998295045972
46,45,32.81972018141914,0.8640901446342468,0.6844690965297083,1.460558630114183
47,46,33.129871343639934,0.8991945385932922,0.6825267865566131,1.4626255424936396
48,47,33.66010292767214,0.8920833468437195,0.681078068262641,1.4538038380367504
49,48,32.82997309528696,0.8811309933662415,0.6814618314787135,1.456215811320636
50,49,33.203686756762814,0.8790372014045715,0.6789827382016854,1.4634401999811104
51,50,33.14776514672848,0.8924071192741394,0.6794791791166327,1.4632887205351806
