,Iterations,PSNR,SSIM,D_Loss,G_Loss
0,1,26.78868744448664,0.6319417357444763,0.7224600918592338,3.938472419833052
1,2,26.95337502756178,0.5770152807235718,0.7211802433700307,3.7438463510864763
2,3,28.08843220935387,0.685039222240448,0.7197688999854569,3.0888833846846313
3,4,28.985126253101043,0.7212466597557068,0.718120936869277,2.675624972027397
4,5,29.680978325820888,0.7261532545089722,0.7163400267665623,2.457803768246817
5,6,29.912040405196663,0.7741812467575073,0.7145002758711398,2.306890038357972
6,7,30.18538399814929,0.8003263473510742,0.7125503316201145,2.1875677105285667
7,8,30.654570259015372,0.8197520971298218,0.7106242396023823,2.0890431082749332
8,9,30.064683970615707,0.7657851576805115,0.7090097003171809,2.0943465270779145
9,10,31.188564627232154,0.8358708620071411,0.7071967300879362,1.9564042432549988
10,11,30.50127855855459,0.7828088998794556,0.7055756084945615,1.8844489746119273
11,12,31.146249738312967,0.8302301168441772,0.7039466940265862,1.8281862023773232
12,13,31.23451079750125,0.824760913848877,0.7026597017226032,1.78150679969325
13,14,31.681889034744017,0.8399554491043091,0.7011502338317206,1.7424708117147598
14,15,31.628979537190666,0.8300610780715942,0.6999943400723322,1.7065715608762617
15,16,31.812314962497794,0.8307223320007324,0.6991248769814967,1.6781117368949168
16,17,31.963736505129138,0.8065481185913086,0.6983548634263694,1.649786223718964
17,18,32.160891254352464,0.8189538717269897,0.6975191323838233,1.630655446227832
18,19,32.64528810951447,0.8341576457023621,0.6969415783909502,1.617661612616922
19,20,32.2062762168538,0.8558558225631714,0.69639165587343,1.587989053651218
20,21,32.29905954101837,0.8102619051933289,0.696024606104889,1.5830239426489572
21,22,32.69765731172521,0.8422937393188477,0.6955637862024151,1.5620161656090885
22,23,32.217196339214524,0.8433984518051147,0.6953023513094558,1.5419935669375673
23,24,32.737747631615726,0.8563746213912964,0.6949928909259688,1.531630263122343
24,25,32.506031960647306,0.8583589792251587,0.6947800395402779,1.5362412086775872
25,26,32.860595969199316,0.8627691268920898,0.6945308721785948,1.5146311186183858
26,27,32.66640653097297,0.8660658001899719,0.6943439405086871,1.5094856446232812
27,28,32.91682362138317,0.8670587539672852,0.6941742137109221,1.497342051856736
28,29,32.869126162960534,0.8614441156387329,0.6940772665639688,1.4937507266384151
29,30,32.55024105078064,0.8782899975776672,0.693968930677151,1.4903555746840693
30,31,33.209569059293926,0.8612165451049805,0.6938464726585404,1.4809776455386605
31,32,32.77754262198755,0.8715001940727234,0.6938094844318274,1.4690379726351408
32,33,33.671544525151376,0.8596561551094055,0.6936896363960032,1.4695620567048537
33,34,32.86105696463778,0.884097695350647,0.6936185965075895,1.4581217843311636
34,35,33.14213458474691,0.8716710209846497,0.6935331174174897,1.4585468400862311
35,36,33.31671296798896,0.86797034740448,0.6935453994127648,1.4461461561625542
36,37,33.20804696442565,0.8729181289672852,0.6934678530077107,1.4398316358901249
37,38,32.94327030160966,0.870681881904602,0.6934224801121808,1.4344797882058682
38,39,33.29050723049363,0.8767984509468079,0.693363907979832,1.4311869638093886
39,40,33.177093355210914,0.8717409372329712,0.6933500575846236,1.423316538096052
40,41,33.60977487115532,0.8872516751289368,0.6933047999397874,1.4172628332156418
41,42,33.27163845596392,0.8726713061332703,0.6931859110358594,1.4125329534975766
42,43,33.83474622906874,0.8954067230224609,0.6931775707146323,1.4047008640761531
43,44,33.180585059598116,0.8843967318534851,0.6930919286658026,1.403371964301974
44,45,33.44722756448744,0.8891498446464539,0.6930240077811698,1.3963072171084012
45,46,33.570034053001805,0.8809992671012878,0.692748050973711,1.381396090975819
46,47,33.73262919498757,0.8849562406539917,0.6926764537552145,1.3750782091051101
47,48,33.314852464876594,0.9008839726448059,0.692713450641645,1.3774646936321713
48,49,33.140707029281714,0.9009912610054016,0.6925874993712623,1.3664727023811674
49,50,33.49525215378576,0.8859950304031372,0.6923487684613981,1.3569753886990472
